zip_code,survey_year,res_n_respondents,res_avg_reliability,res_avg_societal_impact,res_median_income,res_pct_internet_access,res_median_income_bucket,res_pct_eth_ai_an,res_pct_eth_african_american,res_pct_eth_asian,res_pct_eth_hispanic,res_pct_eth_mixed,res_pct_eth_nh_pi,res_pct_eth_other,res_pct_eth_refused,res_pct_eth_white,res_pct_gen_female,res_pct_gen_male,res_pct_gen_no_response,res_pct_gen_non_binary,res_pct_gen_other_no_response,obs_total_stays,obs_digital_users,obs_social_users,obs_avg_temp,obs_count_morning,obs_count_midday,obs_count_evening,obs_dsr,obs_pct_digital,is_robust
98117,2018,241,4.1043,2.5353,125000.0,97.9253,$100k-$150k,0.4149,0.0,3.7344,2.4896,1.6598,0.0,0.4149,6.2241,85.0622,55.1867,41.4938,2.0747,1.2448,0.0,5,2.0,0.0,68.375,4,6,6,2.0,40.0,False
98118,2018,274,4.0602,2.427,62500.0,93.0657,$50k-$75k,0.365,14.2336,18.9781,1.8248,4.0146,0.365,0.365,6.5693,53.2847,49.2701,41.6058,6.9343,2.1898,0.0,278,63.0,160.0,73.9722,50,89,134,0.3913,22.6619,True
98118,2023,322,4.1461,2.6304,87000.0,96.8944,$74k-$100k,0.0,15.528,18.323,6.5217,3.1056,1.2422,0.6211,5.9006,48.7578,53.4161,39.7516,0.0,1.8634,4.9689,196,47.0,83.0,58.9516,45,95,56,0.5595,23.9796,True
98119,2018,128,4.0348,2.5234,87500.0,90.625,$75k-$100k,0.0,3.9062,9.375,0.7812,3.9062,0.0,1.5625,7.8125,72.6562,48.4375,42.1875,8.5938,0.7812,0.0,153,41.0,64.0,72.4351,32,66,56,0.6308,26.7974,True
98119,2023,106,4.3627,2.5849,87000.0,96.2264,$74k-$100k,0.0,3.7736,11.3208,7.5472,0.9434,0.0,0.9434,8.4906,66.9811,47.1698,49.0566,0.0,0.9434,2.8302,299,89.0,85.0,54.4682,69,109,121,1.0349,29.7659,True
98121,2018,64,4.1897,2.5781,75000.0,98.4375,$50k-$75k,0.0,3.125,12.5,9.375,4.6875,0.0,0.0,7.8125,62.5,43.75,50.0,0.0,6.25,0.0,868,297.0,479.0,74.1887,154,360,355,0.6188,34.2166,True
98121,2023,61,4.2241,2.5246,60000.0,98.3607,$46k-$74k,1.6393,18.0328,19.6721,4.918,6.5574,0.0,0.0,6.5574,42.623,32.7869,55.7377,0.0,3.2787,8.1967,532,229.0,288.0,53.8599,108,203,221,0.7924,43.0451,True
98122,2018,183,3.9266,2.5355,87500.0,97.8142,$75k-$100k,0.5464,6.0109,11.4754,5.4645,3.8251,0.0,0.0,8.7432,63.9344,48.6339,45.3552,5.4645,0.5464,0.0,563,178.0,300.0,75.7509,81,202,283,0.5914,31.6163,True
98122,2023,157,4.3,2.5924,87000.0,98.0892,$74k-$100k,0.0,8.2803,14.0127,8.9172,5.7325,0.6369,0.6369,4.4586,57.3248,42.0382,51.5924,0.0,2.5478,3.8217,319,119.0,153.0,48.1266,33,155,131,0.7727,37.3041,True
98125,2018,329,3.9967,2.4802,62500.0,93.617,$50k-$75k,0.304,3.3435,9.7264,5.4711,3.9514,0.304,0.0,5.1672,71.7325,53.1915,40.1216,4.8632,1.8237,0.0,221,90.0,49.0,69.6161,40,85,95,1.8,40.724,True
98125,2023,272,4.2322,2.6912,87000.0,97.4265,$74k-$100k,0.0,5.1471,10.6618,10.6618,4.0441,0.0,2.2059,5.8824,61.3971,51.4706,44.1176,0.0,1.1029,3.3088,157,70.0,32.0,50.7467,19,67,71,2.1212,44.586,True
98133,2018,226,4.0943,2.6947,62500.0,96.0177,$50k-$75k,0.0,3.9823,11.5044,4.8673,4.4248,0.4425,0.4425,5.3097,69.0265,47.3451,43.8053,7.5221,1.3274,0.0,1,0.0,1.0,62.9375,4,6,6,0.0,0.0,False
98133,2023,164,4.2323,2.6707,60000.0,96.3415,$46k-$74k,1.2195,6.7073,10.3659,6.0976,4.878,0.0,0.0,7.3171,63.4146,57.3171,39.0244,0.0,0.6098,3.0488,34,2.0,16.0,51.5,11,12,11,0.1176,5.8824,False
98144,2018,162,4.0,2.4136,87500.0,95.0617,$75k-$100k,0.0,8.0247,16.6667,6.7901,5.5556,0.0,0.6173,3.7037,58.642,43.2099,50.6173,3.7037,2.4691,0.0,305,102.0,79.0,74.8721,73,119,113,1.275,33.4426,True
98144,2023,199,3.9609,2.7035,60000.0,92.4623,$46k-$74k,1.005,9.5477,29.6482,6.5327,5.0251,1.005,0.0,3.0151,44.2211,53.7688,39.196,0.0,2.0101,5.0251,139,55.0,30.0,49.5108,35,60,44,1.7742,39.5683,True
98199,2018,115,4.1635,2.5043,125000.0,95.6522,$100k-$150k,0.8696,1.7391,3.4783,4.3478,4.3478,0.0,0.0,8.6957,76.5217,47.8261,44.3478,5.2174,2.6087,0.0,69,17.0,45.0,70.6429,13,40,17,0.3696,24.6377,True
